concept,database,status,n_rows,n_nonnull,min,max
hr,miiv,OK,25772,25772,0.0,231.5
hr,mimic,OK,28084,28084,0.0,202.0
hr,eicu,OK,20578,20549,0.0,192.0
hr,aumc,OK,29682,29682,0.0,195.0
hr,hirid,OK,15418,15418,0.0,160.0
hr,sic,OK,26717,26717,25.0,248.25
map,miiv,OK,24637,24637,3.0,249.0
map,mimic,OK,23531,23531,0.0,226.0
map,eicu,OK,19320,19320,2.0,185.0
map,aumc,OK,27699,27699,0.0,244.0
map,hirid,OK,15205,15205,0.0,157.0
map,sic,OK,26662,26662,15.11769962310791,242.94700622558594
resp,miiv,OK,25595,25595,0.0,66.0
resp,mimic,OK,23936,23936,0.0,88.0
resp,eicu,OK,20578,17704,0.0,73.5
resp,aumc,OK,27355,27355,0.0,98.0
resp,hirid,OK,11189,11189,0.0,61.94999694824219
resp,sic,OK,8862,8862,1.0,51.228599548339844
temp,miiv,OK,7753,7753,32.29999923706055,40.70000076293945
temp,mimic,OK,7665,7665,33.05557632446289,40.27779006958008
temp,eicu,OK,20578,2190,33.20000076293945,39.900001525878906
temp,aumc,OK,3038,3038,32.0,38.70000076293945
temp,hirid,OK,3348,3348,32.70000076293945,40.099998474121094
temp,sic,OK,23070,23070,32.00299835205078,41.70000076293945
lact,miiv,OK,1308,1308,0.4000000059604645,20.200000762939453
lact,mimic,OK,803,803,0.30000001192092896,27.700000762939453
lact,eicu,OK,302,302,0.4000000059604645,25.299999237060547
lact,aumc,OK,1583,1583,0.30000001192092896,27.0
lact,hirid,OK,1859,1859,0.4000000059604645,20.0
lact,sic,OK,8482,8482,0.0,20.09000015258789
crea,miiv,OK,3496,3496,0.20000000298023224,14.699999809265137
crea,mimic,OK,3189,3189,0.20000000298023224,13.699999809265137
crea,eicu,OK,2094,2094,0.10999999940395355,13.859999656677246
crea,aumc,OK,2394,2394,0.16963499784469604,11.795287132263184
crea,hirid,OK,635,635,0.28280001878738403,7.0473761558532715
crea,sic,OK,2044,2044,0.25999999046325684,11.199999809265137
bili,miiv,OK,1028,1028,0.10000000149011612,21.799999237060547
bili,mimic,OK,701,701,0.10000000149011612,15.899999618530273
bili,eicu,OK,564,564,0.10000000149011612,18.299999237060547
bili,aumc,OK,631,631,0.11693400144577026,22.919063568115234
bili,hirid,OK,229,229,0.1754010021686554,23.38680076599121
bili,sic,OK,635,635,0.20000000298023224,16.350000381469727
plt,miiv,OK,3344,3344,6.0,1181.0
plt,mimic,OK,2984,2984,5.0,1195.0
plt,eicu,OK,1837,1837,10.0,1001.0
plt,aumc,OK,2674,2674,5.0,1152.0
plt,hirid,OK,880,880,6.0,1115.0
plt,sic,OK,2124,2124,5.0,1055.0
wbc,miiv,OK,3293,3293,0.10000000149011612,250.0
wbc,mimic,OK,2901,2901,0.10000000149011612,337.0
wbc,eicu,OK,1833,1833,0.30000001192092896,54.400001525878906
wbc,aumc,OK,2352,2352,0.10000000149011612,92.69999694824219
wbc,hirid,OK,907,907,0.800000011920929,206.8000030517578
wbc,sic,OK,2127,2127,0.8199999928474426,71.37999725341797
po2,miiv,OK,1834,1834,40.0,547.0
po2,mimic,OK,2085,2085,40.0,563.0
po2,eicu,OK,636,636,42.0,528.0
po2,aumc,OK,7606,7606,40.0,534.0
po2,hirid,OK,1662,1662,41.29999923706055,449.0
po2,sic,OK,7862,7862,40.0,536.2999877929688
norepi_rate,miiv,OK,2710,2710,0.00985771231353283,1.4962265491485596
norepi_rate,mimic,OK,3058,3058,0.0,2.0125787258148193
norepi_rate,eicu,OK,1941,1941,0.0,2.793400764465332
norepi_rate,aumc,OK,7656,7656,0.0027777778450399637,2.217777729034424
