concept,db,table,item_id,label,unit,category,extra,status
bili,aumc,numericitems,6812,Bilirubine geconjugeerd,µmol,,,unmapped_candidate
bili,aumc,numericitems,9946,BILIRUBINE (overig),µmol/l,,,unmapped_candidate
bili,aumc,numericitems,17993,Bilirubine ascitesvocht (ascitesvocht),µmol/l,,,unmapped_candidate
bili,aumc,numericitems,18851,Bilirubine drainvocht (drain),µmol/l,,,unmapped_candidate
bili,mimic,chartevents,4948,Bilirubin,,,,unmapped_candidate
bili,mimic,chartevents,225690,Total Bilirubin,,Labs,,unmapped_candidate
bili,mimic,labevents,50838,"Bilirubin, Total, Ascites",,Chemistry,Ascites,unmapped_candidate
bili,mimic,labevents,51012,"Bilirubin, Total, CSF",,Chemistry,Cerebrospinal Fluid (CSF),unmapped_candidate
bili,mimic,labevents,51028,"Bilirubin, Total, Body Fluid",,Chemistry,Other Body Fluid,unmapped_candidate
bili,mimic,labevents,51049,"Bilirubin, Total, Pleural",,Chemistry,Pleural,unmapped_candidate
bili,miiv,chartevents,225690,Total Bilirubin,None,Labs,,unmapped_candidate
bili,miiv,labevents,50838,"Bilirubin, Total, Ascites",,Chemistry,Ascites,unmapped_candidate
bili,miiv,labevents,51028,"Bilirubin, Total, Body Fluid",,Chemistry,Other Body Fluid,unmapped_candidate
bili,miiv,labevents,51049,"Bilirubin, Total, Pleural",,Chemistry,Pleural,unmapped_candidate
bili,miiv,labevents,51568,"Bilirubin, Neonatal",,Chemistry,Blood,unmapped_candidate
bili,miiv,labevents,51783,"Bilirubin, Total, CSF",,Chemistry,Cerebrospinal Fluid,unmapped_candidate
bili,miiv,labevents,51812,"Bilirubin, Total, Joint Fluid",,Chemistry,Joint Fluid,unmapped_candidate
bili,miiv,labevents,51932,"Bilirubin, Total, Stool",,Chemistry,Stool,unmapped_candidate
bili,miiv,labevents,53089,"Bilirubin, Total",,Chemistry,Blood,unmapped_candidate
crea,aumc,numericitems,9942,Kreatinine (Jaffé) (overig),µmol/l,,,unmapped_candidate
crea,aumc,numericitems,12191,Kreatinine (Jaffé)  (overig),mmol/l,,,unmapped_candidate
crea,aumc,numericitems,14441,Kreatinine (overig),µmol/l,,,unmapped_candidate
crea,aumc,numericitems,18430,Kreatinine dialysaat (dialysaat),µmol/l,,,unmapped_candidate
crea,mimic,labevents,50841,"Creatinine, Ascites",,Chemistry,Ascites,unmapped_candidate
crea,mimic,labevents,51021,"Creatinine, Joint Fluid",,Chemistry,Joint Fluid,unmapped_candidate
crea,mimic,labevents,51032,"Creatinine, Body Fluid",,Chemistry,Other Body Fluid,unmapped_candidate
crea,mimic,labevents,51052,"Creatinine, Pleural",,Chemistry,Pleural,unmapped_candidate
crea,miiv,labevents,50841,"Creatinine, Ascites",,Chemistry,Ascites,unmapped_candidate
crea,miiv,labevents,51021,"Creatinine, Joint Fluid",,Chemistry,Joint Fluid,unmapped_candidate
crea,miiv,labevents,51032,"Creatinine, Body Fluid",,Chemistry,Other Body Fluid,unmapped_candidate
crea,miiv,labevents,51052,"Creatinine, Pleural",,Chemistry,Pleural,unmapped_candidate
crea,miiv,labevents,51787,"Creatinine, CSF",,Chemistry,Cerebrospinal Fluid,unmapped_candidate
crea,miiv,labevents,51937,"Creatinine, Stool",,Chemistry,Stool,unmapped_candidate
crea,eicu,lab,urinary creatinine,urinary creatinine,mg/dL,,,unmapped_candidate
fio2,mimic,chartevents,7018,ecmo fio2,,,,unmapped_candidate
fio2,miiv,chartevents,229238,FiO2 Challenge,,Hemodynamics,,unmapped_candidate
fio2,miiv,chartevents,229239,FiO2 Challenge Result,,Hemodynamics,,unmapped_candidate
fio2,miiv,chartevents,229280,FiO2 (ECMO),%,ECMO,,unmapped_candidate
fio2,miiv,chartevents,229841,FiO2 (CH),%,ECMO,,unmapped_candidate
hgb,aumc,numericitems,9961,Hb (overig),mmol/l,,,unmapped_candidate
hgb,aumc,numericitems,11543,SO2 (Hb) (bloed),Geen,,,unmapped_candidate
hgb,aumc,numericitems,11690,CO-Hb (bloed),Geen,,,unmapped_candidate
hgb,aumc,numericitems,11692,Met-Hb (bloed),Geen,,,unmapped_candidate
hgb,aumc,numericitems,11810,Hb A2 (bloed),Geen,,,unmapped_candidate
hgb,aumc,numericitems,11811,Hb F (bloed),Geen,,,unmapped_candidate
hgb,aumc,numericitems,14412,Met-Hb  (bloed),Geen,,,unmapped_candidate
hgb,aumc,numericitems,18376,Hb ascitesvocht (ascitesvocht),mmol/l,,,unmapped_candidate
hgb,aumc,numericitems,18860,Hb pleuravocht (pleurapunct.),mmol/l,,,unmapped_candidate
hgb,aumc,numericitems,20019,Streef Hb onderwaarde,mmol/l,,,unmapped_candidate
hgb,aumc,numericitems,20659,ECMO - Hb (g/dl),g/dl,,,unmapped_candidate
hgb,mimic,chartevents,7965,methhemoglobin,,,,unmapped_candidate
hgb,mimic,labevents,50805,Carboxyhemoglobin,,Blood Gas,Blood,unmapped_candidate
hgb,mimic,labevents,50814,Methemoglobin,,Blood Gas,Blood,unmapped_candidate
hgb,mimic,labevents,50852,% Hemoglobin A1c,,Chemistry,Blood,unmapped_candidate
hgb,mimic,labevents,50855,Absolute Hemoglobin,,Chemistry,Blood,unmapped_candidate
hgb,mimic,labevents,51212,Fetal Hemoglobin,,Hematology,Blood,unmapped_candidate
hgb,mimic,labevents,51223,Hemoglobin A2,,Hematology,Blood,unmapped_candidate
hgb,mimic,labevents,51224,Hemoglobin C,,Hematology,Blood,unmapped_candidate
hgb,mimic,labevents,51225,Hemoglobin F,,Hematology,Blood,unmapped_candidate
hgb,mimic,labevents,51285,"Reticulocyte, Cellular Hemoglobin",,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,50805,Carboxyhemoglobin,,Blood Gas,Blood,unmapped_candidate
hgb,miiv,labevents,50814,Methemoglobin,,Blood Gas,Blood,unmapped_candidate
hgb,miiv,labevents,50852,% Hemoglobin A1c,,Chemistry,Blood,unmapped_candidate
hgb,miiv,labevents,50855,Absolute Hemoglobin,,Chemistry,Blood,unmapped_candidate
hgb,miiv,labevents,51212,Fetal Hemoglobin,,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,51223,Hemoglobin A2,,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,51224,Hemoglobin C,,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,51225,Hemoglobin F,,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,51285,"Reticulocyte, Cellular Hemoglobin",,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,51631,Glycated Hemoglobin,,Chemistry,Blood,unmapped_candidate
hgb,miiv,labevents,51641,Hemoglobin  A,,Chemistry,Blood,unmapped_candidate
hgb,miiv,labevents,51642,Hemoglobin  A1,,Chemistry,Blood,unmapped_candidate
hgb,miiv,labevents,51643,Hemoglobin  A2,,Chemistry,Blood,unmapped_candidate
hgb,miiv,labevents,51644,Hemoglobin  C,,Chemistry,Blood,unmapped_candidate
hgb,miiv,labevents,51645,"Hemoglobin, Calculated",,Chemistry,Blood,unmapped_candidate
hgb,miiv,labevents,51646,Hemoglobin  F,,Chemistry,Blood,unmapped_candidate
hgb,miiv,labevents,51647,Hemoglobin  S,,Chemistry,Blood,unmapped_candidate
hgb,miiv,labevents,52032,P50 of Hemoglobin,,Blood Gas,Blood,unmapped_candidate
hgb,miiv,labevents,52128,Hemoglobin H Inclusion,,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,52129,Hemoglobin Other,,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,52144,Methemoglobin,,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,52157,Plasma Hemoglobin,,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,52183,Sulf Hgb,,Hematology,Blood,unmapped_candidate
hgb,miiv,labevents,52351,Fetal Hgb,,Hematology,Other Body Fluid,unmapped_candidate
hgb,eicu,lab,Carboxyhemoglobin,Carboxyhemoglobin,%,,,unmapped_candidate
hgb,eicu,lab,Methemoglobin,Methemoglobin,%,,,unmapped_candidate
hgb,eicu,lab,Oxyhemoglobin,Oxyhemoglobin,%,,,unmapped_candidate
hr,mimic,chartevents,964,THAM CC/HR,,,,unmapped_candidate
hr,mimic,chartevents,1097,Pantoprazole  mg/hr,,,,unmapped_candidate
hr,mimic,chartevents,1106,Meperidine mg/hr,,,,unmapped_candidate
hr,mimic,chartevents,611,Replace Rate ml/hr,,,,unmapped_candidate
hr,mimic,chartevents,146,Dialysate Flow ml/hr,,,,unmapped_candidate
hr,mimic,chartevents,481,Orthostat HR sitting,,,,unmapped_candidate
hr,mimic,chartevents,485,Orthostatic HR lying,,,,unmapped_candidate
